Q.no.  ,                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                                         ,
       ,                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A. Mahanadi                       B. Godawari                          C. Cauvery                        D. Krishna                                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                                                                                                                                         ,
19     ,Which of the following is related to Bharat Nirman Scheme                                                                                                                                                                                                                                                                                                ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A. Foodgrain production self sufficiency           B. Family Welfare programme       C. Infrastructure development            D. Employment generation program                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                         ,
20     ,Which peninsular river is least seasonal in flow                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A. Narmada                     B. Krishna                                  C. Godavari                                D. Cauvery                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                                         ,
21     ,Which one of the following ports is the oldest port in India                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A. Mumbai Port               B. Chennai Port             C. Kolkata Port                   D. Vishakhapatnam Port                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                                                                                                                         ,
22     ,At Which one of the following places do the rivers Alaknanda and Bhagirathi merge to form Ganga                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A. Devprayag                   B. Rudra Prayag              C. Karnaprayag                      D. Vishnuprayag                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                                                                                                                         ,
23     ,Which of the following is not a nuclear power center                                                                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A. Narora                            B. Kota                               C. Chamera                            D. Kakrapara                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                                         ,
24     ,Galileo was an Italian astronomer who                                                                                                                                                                                                                                                                                                                    ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A.Developed the telescope      B. discovered four satelltes of Jupiter      C. discovered that the movement of pendulum produces a regular time measurement          D. All of the above                                                                                                                                                                 ,                                                                                                                                                                                                                                                                                                                                                         ,
25     ,Gravity setting chambers are used in industries to remove.                                                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A. Nox                          B. Sox                   C. Co                   D. Suspended particulate matter                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                                         ,
26     ,First Afghan War Took place in .                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A. 1839                      B.1848                        C. 1843                    D. 1833                                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                                         ,
27     ,Hitler party which came into power in 1933 is known as                                                                                                                                                                                                                                                                                                   ,                                                                                                                                                                                                                                                                                                                                                         ,
Option ,A. Ku-Klux-klan          B. Democratic party         C. Labour Party                   D. Nazi Party                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                         ,
28     ,Habeas Corpus Act 1679                                                                                                                                                                                                                                                                                                                                   ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A. provided facilities to a prisoner to obtain either speedy trial or release in ball             B. states that no one was to be imprisoned without a writ or warrant stating the charge against him       C.safeguarded the personal liberties of the people  against arbitrary imprisonment by the king`s orders                  D. All of the above ,A. provided facilities to a prisoner to obtain either speedy trial or release in ball             B. states that no one was to be imprisoned without a writ or warrant stating the charge against him       C.safeguarded the personal liberties of the people  against arbitrary imprisonment by the king`s orders                  D. All of the above ,A. provided facilities to a prisoner to obtain either speedy trial or release in ball             B. states that no one was to be imprisoned without a writ or warrant stating the charge against him       C.safeguarded the personal liberties of the people  against arbitrary imprisonment by the king`s orders                  D. All of the above
29     ,Guwahati High Court is the judicature of                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A. Assam                   B. Nagaland                      C. Arunachal Pradesh                      D.  All of the above                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                                                                                                                         ,
30     ,Gulf cooperation council was originally formed by                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,"A. Bahrain, Kuwait, Omam, Qatar, Saudi Arabia and United Arab Emirates                 B. Second Would Nations                                C. Third World Nations                             D.Fourth World Nations "                                                                                                                               ,                                                                                                                                                                                                                                                                                                                                                         ,
31     ,"Grand Central Terminal, Park Avenue, New York is the World`s"                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A. Highest railway station                           B. Longest railway station                         C. Largest railway station                            D. None of the above                                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                         ,
32     ,FFC stands for                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A. Federation of Football Council               B. Film Finance Corporation                   C. Foreign Finance Corporation                      D. None of the above                                                                                                                                                                                   ,                                                                                                                                                                                                                                                                                                                                                         ,
33     ,Friction can be reduced by changing from.                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A. Rolling to sliding                             B. Sliding to rolling                              C. Dynamic to static                         D. Potential energy to kinetic energy                                                                                                                                                                  ,                                                                                                                                                                                                                                                                                                                                                         ,
34     ,First China War was fought between                                                                                                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A. China and Egypt                               B. China and Greek                                  C. China and Britain                        D. China and France                                                                                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                         ,
35     ,Exposure to sunlight helps a person improve his health because.                                                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A. Resistance power increases                         B. The infrared light kills bacteria in the body                              C. The ultraviolet rays convert skin oil into Vitamin D                                D. The pigment cells in the skin get stimulated and produce a healthy tan                                                     ,                                                                                                                                                                                                                                                                                                                                                         ,
36     ,Entomology is the science that studies                                                                                                                                                                                                                                                                                                                   ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A. The origin and history of technical and scientific  terms                                   B. Behavior of human beings                                 C. Insects                             D. The formation of rocks                                                                                                                              ,                                                                                                                                                                                                                                                                                                                                                         ,
s      ,                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                                         ,
