Question,Correct Answer,Option A,Option B,Option C,Option D
 Babar entered India for the first time from the west through,Punjab,Kashmir,Sind,Punjab,Rajasthan
The bone of contention between the Shah of Persia and the Mughals was the control of,Kandhar,Kabul,Kandhar, Ghazni,Kunduz
The youngest mountain range in the world is,Himalayas,Himalayas,Alps,Andes,Rockies
Which of the following is a cold blooded animal?,Tortoise,Whale,Penguin,Otter,Tortoise
Which one of the following structures present in mammalian skin directly helps in keeping warm?,Pigmented cells,Pigmented cells,Sweat glands,Lymph vessel,Blood capillaries
The bats are able to fly in dark since their wings, ultrasonic waves, sound waves, ultrasonic waves, infra-red rays,ultraviolet rays
 About 80% of the body weight in most organisms is,No,protein,water, minerals,fat
"In crustaceans (i.e. crabs, shrimps & sea fish etc.) the metallic base of the respiratory pigment is made up of ?",copper,iron,copper,magnesium,potassium
Insects that make a clicking sound are, beetles, flies,crickets, beetles,cockroaches
Which of the following structures are associated with the sense of balance in mammals?,Ampulla and semicircular canals, Cochlea and tympanum,Oval window and ear lobes,Ampulla and semicircular canals,Eustachian tube and nasal passage
Pearls are formed inside,molluscs,squids,oysters,snails,molluscs
Camel uses its hump for ?,storing fat,storing fat,temperature regulation,storing water,balancing the body during walking in desert sand
The organism in which RNA is the genetic material is,Tobacco mosaic virus,Rabies virus,Staphylococcus,Plasmodium,Tobacco mosaic virus
The function of tongue in snakes is to,smell the food,taste the food,smell the food,catch the food,detect the food
 Which of the following animals stores water in the intestine?, Camel, Zebra, Camel,Moloch,Uromastix
Deficiency of Vitamin E causes ?, sterility,rickets,anemia, sterility,beri beri
In which of the following diseases do the germs enter through open wounds?,Tetanus,Malaria,Tuberculosis,Typhoid,Tetanus
 DPT is a vaccine for,"diptheria, whooping cough and tetanus","diarrhoea, polio and typhoid","diptheria, whooping cough and tetanus"," diarrhoea, polio and tetanus","diptheria, whooping cough and typhoid"
"When a colour blind male marries a normal woman not carrying the gene for colour blindness, their off springs will be",normal sons and carrier daughters,normal sons and normal daughters,normal sons and carrier daughters,normal daughters and colour blind sons,colour blind sons and carrier daughters
Insulin is given to people suffering from which of the following diseases?,Diabetes,Polio, Cancer,Diabetes,Tuberculosis
The compound used in anti-malarial drug is,chloroquin,aspirin,neoprene,isoprene,chloroquin
 Which of the following diseases is caused by the bite of a mad dog?,Hydrophobia,Hydrocele,Hydrophobia,Hydrocephalus,Hydroperitoneum
"Which vitamin is provided by sunlight to the body ?
",Vitamin D,Vitamin A,Vitamin B,Vitamin C,Vitamin D
What care is most useful to save the life of an infant suffering from acute diarrhea?,Do not allow his body to dehydrate.,Keep the infant away from gatherings of people.,Do not allow his body to dehydrate.,Do not allow the mosquitoes to bite him.,Keep away house flies from hint
 Haemoglobin is dissolved in the plasma of,fish,man,fish,frog,earthworm
An ant can see the objects all around it due to the presence of, compound eyes,simple eyes, eyes over the head,well developed eyes, compound eyes
What is the capital of Australia?,Canberra,Sydney,Melbourne,Canberra,Perth
Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci, Michelangelo
What is the largest ocean in the world?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean
"Which planet is known as the ""Red Planet""?",Mars,Venus,Mars,Jupiter,Saturn
"Who wrote the play ""Romeo and Juliet""?",William Shakespeare,William Shakespeare,Jane Austen,Charles Dickens,F. Scott Fitzgerald
What is the currency of Japan?,Yen,Yen,Euro,Dollar,Rupee
Which country is home to the famous ancient monument Stonehenge?,United Kingdom,France,United Kingdom, Italy,Egypt
Who is the author of the Harry Potter book series?,J.K. Rowling,J.R.R. Tolkien,J.K. Rowling,George R.R. Martin,Dan Brown
"Which country is known as the ""Land of the Rising Sun""?",Japan, China,South Korea,Japan,Thailand
What is the tallest mountain in the world?,Mount Everest,Mount Kilimanjaro,Mount Everest,Mount McKinley,Mount Fuji
"Who painted the famous artwork ""The Starry Night""?",Vincent van Gogh,Salvador Dalí,Pablo Picasso,Vincent van Gogh,Claude Monet
What is the official language of Brazil?,Portuguese,Spanish,Portuguese,French,English
Which continent is the most populous?,Asia,Asia,Africa,Europe,North America
Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Alexander Graham Bell,Nikola Tesla,Isaac Newton
What is the largest organ in the human body?,Skin, Heart, Liver,Brain,Skin
India is a federal union comprising twenty-eight states and how many union territories?,1/7/1900,6,7,8,9
Which of the following is the capital of Arunachal Pradesh?,Itanagar,Itanagar,Dispur,Imphal,Panaji
What are the major languages spoken in Andhra Pradesh?,Telugu and Urdu,Odia and Telugu,Telugu and Urdu, Telugu and Kannada,All of the above languages
What is the state flower of Haryana?,Lotus,Lotus,Rhododendron,Golden Shower, Not Declared
Which of the following states is not located in the North?,Jharkhand,Jharkhand,Jammu and Kashmir,Himachal Pradesh, Haryana
"In which of the following state, the main language is Khasi?",Meghalaya,Mizoram,Nagaland,Meghalaya,Tripura
Which is the largest coffee-producing state of India?,Karnataka,Kerala,Tamil Nadu,Karnataka,Arunachal Pradesh
Which state has the largest area?,Rajasthan,Maharashtra,Madhya Pradesh,Uttar Pradesh,Rajasthan
Which state has the largest population?,Uttar Pradesh,Uttar Pradesh, Maharastra,Bihar,Andra Pradesh
In what state is Elephant Falls located?, Meghalaya,Mizoram,Orissa,Manipur, Meghalaya
What is the Capital of Mizoram?,Aizawl,Aizawl,Jaipur,Gangtok,Khawzawl
" Which state of India celebrates Hunter Holi, an 800-year tradition?",Haryana,Punjab,Haryana,Delhi,Uttar Pradesh
 Which city is known as the “summer capital” of Jammu and Kashmir?,Srinagar,Jammu,Srinagar,Shimla,Anantnag
Yakshagana is the folk dance of which state?,Karnataka,Kerala,Tamil Nadu,Karnataka,Telangana
What is the staple drink of Goa?,Feni,Toddy,Feni,Thandai,Sattu Sharbat
Which is the biggest continent in the world?,1. Asia,1. North America,1. Asia,1. Africa,1. Australia
 Which is the longest river in the world?,1. Nile,1. Great Ganga,1. Nile,1. Amazon,1. Niger
Which is the largest ocean in the world?,1. Pacific Ocean,1. Indian Ocean,1. Pacific Ocean,1. Arctic Ocean,1. Atlantic Ocean
Which is India’s first super computer?,1. Param8000,1. Param8000,1. param80000,1. param800,1. param8
Which bank is called bankers Bank of India?,1. Reserve Bank of India,1. Reserve Bank of India,1. Punjab National Bank,1. State Bank of India,1. ICICI Bank
Which is the largest animal in the world?,1. Blue whale,1. Shark,1. Blue whale,1. Elephant,1. Giraffe
Which is largest animal on land?,1. African Elephant,1. Tiger,1. White Elephant,1. African Elephant,1. Crocodile
Which is largest island in the world?,1. Greenland,1. New Guinea,1. Andaman Nicobar,1. Greenland,1. Hawaii
 Which is the largest flower in the world?,1. Rafflesia,1. Rafflesia,1. Jasmine,1. Balloon Flower,1. Camellia
Which is the 29th state of India?,2. Telangana,1. Uttarakhand,2. Telangana,1. Uttar Pradesh,2. Madhya Pradesh
Which company was formed by the British in India in the year 1600 ?,(B) East India Company,India East Company,(B) East India Company,(C) West India Company,(D) British Company
Who was the first Speaker of Lok Sabha?,Ganesh Vasudev Mavalankar,Sardar Vallabhbhai Patel,Ganesh Vasudev Mavalankar,H. J. Virgo,None of these
Who was the first Chief Justice of India?,H. J. Kania,Ganesh Vasudev Mavalankar,Sardar Vallabh Bhai Patel,H. J. Kania,None of these
What was the total expenditure in constitution-making work?,"63,96,729Rs","63,96,729Rs","60,96,729 Rs.","65,96,729 Rs.","67,96,729 Rs."
When was Himachal Pradesh given full statehood?,"January 25, 1971 AD","January 25, 1971 AD","January 21, 1972 AD","26 April, 1975 AD","22 April, 1976 AD"
When was the constitution of Jammu and Kashmir implemented?,1/26/1957,26-Jan-57,26-Jan-50,1-Aug-50,None of these
Write the name of the first President of India.,Dr. Rajendra Prasad,Dr. Rajendra Prasad,Dr. B. N. Rao,Dr. B R Ambedkar, None of these
Which freedom is considered the ‘Hallmark of Democracy’?,Freedom of speech and expression,Right against exploitation,Right to freedom of religion,Freedom of assembly,Freedom of speech and expression
On which day the Constituent Assembly finally met for the last time?,1/24/1950,"26 November, 1949",5-Dec-49,24-Jan-50," 25 January, 1950"
What is the number of Lok Sabha seats in Maharashtra?,2/16/1900,42,34,40,48
Who presented the Objective Resolution in the Constituent Assembly?,Jawaharlal Nehru,Satchidanand Sinha,Jawaharlal Nehru,Dr. B. R. Ambedkar, Acharya J. B. kriplani
In which part of the constitution the process of amendment of the constitution is mentioned?, Part 20,Part 3,Section 4, Part 20,Part 21
Who is considered the creator of the Constitution of India?,B.R. Ambedkar,Mahatma Gandhi,B.R. Ambedkar,Jawaharlal Nehru,BN Rao
From which day the Constituent Assembly emerged as a provisional parliament?,1/26/1950,"24 January, 1950","25 January, 1950",26-Jan-50,"18 February, 1950"
Who among the following was not a member of the Constitution Manuscript Committee?,Jawaharlal Nehru, Mohammad Sadullah,K.M. Accountant,A.K. Iyer,Jawaharlal Nehru
Name of the first Atomic Submarine of India?    ,I.N.S Chakra,I.N.S Chakra,R.N. Shukla, V.R. Gill,D.B. Mahawar
What is the name of first British to visit India?  ,Hawkins,Hawkins, Norway, Devid,George Bush
Name of the first election commissioner of India?,Sukumar Sen,Sukumar Sen,R.N. Shukla,V.R. Gill, D.B. Mahawar
 Name of the first university of India?,Nalanda University,Nalanda University,Taxshila University,Jawahar University,Dronacharya University
Where is India's First nuclear centre?,Tarapur,Tarapur,Jaipur,Kanpur, Raipur
Name of the first Chinese pilgrim to visit India?,Fa-hien,Fa-hien,Shekaspear,Hein sung, Charles
Name of first foreign recipient of Bharat Ratna?,Khan Abdul Gaffar Khan,Khan Abdul Gaffar Khan,R.N. Shukla,V.R. Gill,D.B. Mahawar
Where was the first Post Office opened in India?,Kolkata in 1727,Kolkata in 1727, Asaam in 1827,Madras in 1928, Delhi in 1230
Name of the first deputy Prime Minister of India?,Sardar Vallabh Bhai Patel,Sardar Vallabh Bhai Patel,R.N. Shukla,V.R. Gill,D.B. Mahawar
Name of first Space Tourist of India?, Santosh George, Santosh George,R.N. Shukla,V.R. Gill,D.B. Mahawar
Name of the first Aircraft Carrier Indian Ship?,I.N.S. Vikrant,I.N.S. Vikrant,Sukhoi,HAL Tejas,SEPECAT
Name of First Indian who reached south pole?,Col. I K Bajaj,Col. I K Bajaj,R.N. Shukla, V.R. Gill,D.B. Mahawar
Name of first Indian who won Billiards Trophy?,Wilson Jones,Wilson Jones,R.N. Shukla, V.R. Gill,D.B. Mahawar
Name of the First Indian Prime Minister who resigned from Office?,Moraji Desai,Moraji Desai,Indira Gandhi,Jawahar Lal Nehru,Rajiv Gandhi
 First Indian recipient of Oscar Award?, Bhanu Athaiya, Bhanu Athaiya,R.N. Shukla, V.R. Gill,D.B. Mahawar
 Name of the first Indian President to Die in office?, Dr. Zakir Hussain, Dr. Zakir Hussain,Pranav Mukharji,Gyan Jail Singh,Rajendra Prasad
Name of the First Indian Author to get the Anderson Award?,Ruskin Bond,Ruskin Bond,LaxmiNarayan Mehata,Jai Chand,Harivansh Rai 
 Name of First Indian Missile?, Prithvi, Prithvi,Sukhoi,HAL Tejas,SEPECAT
Name of first Indian Pilot?,J.R.D. Tata in 1929,J.R.D. Tata in 1929,R.N. Shukla,V.R. Gill,D.B. Mahawar
Name of the first Chief of Naval staff of India?,Vice-Admiral R.D. Katari,Vice-Admiral R.D. Katari, R.N. Shukla, V.R. Gill, D.B. Mahawar
 Name of the first Indian to win Magsaysay Award?,Acharya Vinoba Bhave in 1958,Acharya Vinoba Bhave in 1958,R.N. Shukla, V.R. Gill,D.B. Mahawar
Name of first Indian to win Nobel Prize?, Rabindranath Tagore, Rabindranath Tagore,R.N. Shukla,V.R. Gill,D.B. Mahawar
 First Scientist of India to get Nobel Prize in Economics?,Dr. Amartya Sen,Dr. Amartya Sen,R.N. Shukla,V.R. Gill,D.B. Mahawar
Name of the First Indian Submarine?,I.N.S. Cauveri,I.N.S. Cauveri,R.N. Shukla,V.R. Gill, D.B. Mahawar
Name of the first person to get Paramvir Chakra?,Major Somnath Sharma,Major Somnath Sharma,Major Shaitan Singh, Major Rajendra Singh,Major Suresh Ranawat
First Indian to go into space?,Sqn. Ldr. Rakesh Sharma,Sqn. Ldr. Rakesh Sharma,R.N. Shukla,V.R. Gill,D.B. Mahawar
Name of first Indian to get Bharat Ratna Award?,Dr. S Radhakrishnan,Dr. S Radhakrishnan,Pranav Mukharji,Gyan Jail Singh,Rajendra Prasad
Name of first speaker of Lok Sabha?,G.V. Mavlankar from 1952-1957,G.V. Mavlankar from 1952-1957,Pranav Mukharji,Gyan Jail Singh,Rajendra Prasad
Name of first president of Indian National Congress ?, W.C. Banerjee, W.C. Banerjee, Pranav Mukharji,Gyan Jail Singh,Rajendra Prasad
 First President of India ?,Dr. Rajendra Prasad,Dr. Rajendra Prasad, Pranav Mukharji,Gyan Jail Singh, Rajendra Prasad
Name of first Indian to get Jnanpeeth Award ?,G. Shankar Kurup,G. Shankar Kurup,R.N. Shukla,V.R. Gill,D.B. Mahawar
India's first woman president ?,Smt. Pratibha Patil,Smt. Pratibha Patil,Sushma Swaraj,Indira Gandhi,Sarojani Naidu
 Name of first woman governor of India ?,Sarojini Naidu,Sarojini Naidu,Sushma Swaraj, Indira Gandhi,Sarojani Naidu
Name of the first Indian woman ruler ?,Razia Sultan on Delhi's throne,Razia Sultan on Delhi's throne,Saira Begum,Mumtaj Begam,Laxmi Bai]
Name of the first woman musician of India to get Bharat Ratna ?,M.S. Subbulakshmi,M.S. Subbulakshmi, Tansen,S.D. Berman,R.D. Berman
Name of the first woman of India to win WTA title ?,Sania Mirza,Sania Mirza,P.T.Usha,Ragini Singh,Sindhu
Name of the first Indian woman to get noble prize ?,Mother Teresa in 1979,Mother Teresa in 1979, Sushma Swaraj,Indira Gandhi,Sarojani Naidu
Name of the first woman judge of Supreme Court of India ?,Meera Sahib Fatima Bibi,Meera Sahib Fatima Bibi, Sushma Swaraj,Indira Gandhi,Sarojani Naidu
Name of first woman of India to get Ashok Chakra ?,Nirja Mishra,Nirja Mishra,Sushma Swaraj,Indira Gandhi,Sarojani Naidu
Name of first woman of India to won Miss World Title ?,Reita Faria,Reita Faria,Sushma Swaraj, Indira Gandhi,Sarojani Naidu
Name of first woman of India to climb the mount everest ?, Bachendri Pal, Bachendri Pal,Sushma Swaraj,Indira Gandhi,Sarojani Naidu
Name of the first woman of India to won Miss Universe title ?,Sushmita Sen,Sushmita Sen,Shri Devi,Aishwarya Rai,Kajol
Name of India's first woman IPS officer ?,Kiran Bedi,Kiran Bedi,Rekha Mudgul,Kiran Kher, Indira Devi
Name of first woman of India to get Jnanpith Award ?,Ashapurna Devi,Ashapurna Devi,Mansa Mata,shitla Devi, Gauri Mata
Name of first Indian woman to win a Gold in Asian Games ?,Kamaljeet Sandhu,Kamaljeet Sandhu,P.T.Usha, Ragini Singh, Sindhu
Who was first Indian Reserve Bank Governor,C D Deshmukh,C D Deshmukh,R.N. Shukla,V.R. Gill, D.B. Mahawar
 How many articles were there originally in Constitution of India?, 395, 395,397,403, 410
 How many articles are in Constitution of India now?,3/23/1901,440,441,448, 443
Under the constitution of India who are the ultimate Sovereign?, Indian People, Indian People,Prime Minister of India,President of India,All elected leaders of India
The constitution is the supreme law of the land. It is protected by,The Supreme Court,The Supreme Court,The Constituent Assembly,The Parliament,The President
Which of the following is not a constitutional body?,National Advisory Council, Election Commission,Planning Commission,National Advisory Council,Inter-State Council
Nagaland was created as a separate state in the year?,5/16/1905,1960,1961,1962,1963
 Plants absorb dissolved nitrates from soil and convert them into,free nitrogen,free nitrogen,urea,ammonia, proteins
Plants receive their nutrients mainly from,soil,chlorophyll,atmosphere,light,soil
Ordinary table salt is sodium chloride. What is baking soda?,Sodium bicarbonate,Potassium Chloride,Potassium carbonate,Potassium Hydroxide,Sodium bicarbonate
 Which of the following countries is not a member of SAARC, Myanmar, Nepal,Bangladesh,Afghanistan, Myanmar
 Which nut is attached to a yellow or red pear-shaped false fruit?,Cashew nut,Almond,Cashew nut,Walnut, Peanut
Which of the following teams won the Africa Cup Football championship final held in February 2012?,Zambia,Kenya,Zambia,South Africa,Ivory Coast
ndia conducted a joint naval coast guard exercise Sahyog-Kaijin-XI with...,Japan,China,Myanmar,Thailand,Japan
What is the Statutory Liquidity Ratio (SLR) at present?,12/30/1899,20%,22%, 25%,24%
" Meryl Streep who was awarded one of the Oscar Awards 2012, is a famous.",Actress,Film Director,Actress,Songwriter,Screen play writer
 As per new data released recently what was GDP real growth rate?,12/30/1899,7%,8%,9%,10%
  World Day for Water is observed on which of the following dates?,3/22/2024,22-Aug,22-Jul,22-Oct,22-Mar
  The proceeds from disinvestment of various public-sector undertaking are channelized into...., National Investment Fund,Technology Upgradation Fund.,Venture Capital Fund,Rural Innovation Fund, National Investment Fund
 Who was the flag bearer of the Indian contingent at the opening ceremony of Asian Games 2018?,Neeraj Chopra,Saina Nehwal,Neeraj Chopra,PV Sindhu,Bajrang Poonia
 Which country won the gold medal in men's hockey at the 2018 Asian Games?, Japan,South Korea, Japan,Pakistan,Malaysia
The Most Valuable Player award at the 2018 Asian Games has been given to –, Rikako Ikee,Li Bingjie, Rikako Ikee,Li Yue,Yukiko Ueno
